club, country
Real Madrid, ESP
FC Barcelona, ESP
Manchester United, ENG
Valencia, ESP
Bayern München, GER
Lazio, ITA
Arsenal, ENG
Juventus, ITA
Deportivo La Coruña, ESP
AC Milan, ITA
Liverpool, ENG
Internazionale, ITA
AS Roma, ITA
AC Parma, ITA
FC Porto, POR
Celta de Vigo, ESP
Leeds United, ENG
Galatasaray, TUR
Olympique Lyon, FRA
Bayer Leverkusen, GER
Real Mallorca, ESP
Panathinaikos, GRE
Girondins Bordeaux, FRA
Borussia Dortmund, GER
Chelsea, ENG
Feyenoord, NED
Atlético Madrid, ESP
CD Alavés, ESP
Hertha BSC, GER
PSV Eindhoven, NED
1.FC Kaiserslautern, GER
Celtic, SCO
Fiorentina, ITA
AEK Athens, GRE
FC Nantes, FRA
Dinamo Kiev, UKR
Real Betis, ESP
Ajax, NED
Olympiakos Piraeus, GRE
Boavista, POR
Málaga CF, ESP
RC Lens, FRA
Bologna, ITA
Rayo Vallecano, ESP
Paris Saint-Germain, FRA
Newcastle United, ENG
Glasgow Rangers, SCO
Sparta Praha, CZE
Olympique Marseille, FRA
VfB Stuttgart, GER
Werder Bremen, GER
Lokomotiv Moscow, RUS
Anderlecht, BEL
Udinese, ITA
Slavia Praha, CZE
Real Sociedad, ESP
AS Monaco, FRA
Real Zaragoza, ESP
PAOK Thessaloniki, GRE
Club Brugge, BEL
Athletic Bilbao, ESP
Rosenborg BK, NOR
Espanyol, ESP
Ipswich Town, ENG
Schalke 04, GER
Spartak Moscow, RUS
Sturm Graz, AUT
Fulham FC, ENG
Aston Villa, ENG
Slovan Liberec, CZE
West Ham United, ENG
Tottenham Hotspur, ENG
Wisla Kraków, POL
Vitesse Arnhem, NED
Lille OSC, FRA
Besiktas, TUR
Grasshoppers Zürich, SUI
Sporting CP Lisbon, POR
Dinamo Zagreb, CRO
Blackburn Rovers, ENG
Chievo Verona, ITA
Roda JC Kerkrade, NED
SC Freiburg, GER
Hamburger SV, GER
TSV 1860 München, GER
Benfica, POR
VfL Wolfsburg, GER
Leicester City, ENG
Hapoel Tel-Aviv, ISR
AJ Auxerre, FRA
Union Berlin, GER
FC Basel, SUI
Heerenveen, NED
Racing Genk, BEL
Servette FC Genève, SUI
Panionios, GRE
Grazer AK, AUT
MSV Duisburg, GER
Maccabi Haifa, ISR
Troyes AC, FRA
Iraklis Thessaloniki, GRE
FC Zürich, SUI
Willem II Tilburg, NED
Montpellier, FRA
Lausanne Sports, SUI
Legia Warsaw, POL
FC Lorient, FRA
CS Sedan, FRA
FC Metz, FRA
Red Star Belgrade, SRB
Sporting Braga, POR
FC Twente Enschede, NED
RC Strasbourg, FRA
FC Gueugnon, FRA
Denizlispor, TUR
Fenerbahçe, TUR
OFI Heraklion, GRE
Aris Thessaloniki, GRE
Varteks Varazdin, CRO
NK Osijek, CRO
Shakhtar Donetsk, UKR
Maritimo Funchal, POR
Brøndby IF, DEN
FC Sankt Gallen, SUI
Partizan Belgrade, SRB
FC Utrecht, NED
FC København, DEN
FC Tirol Innsbruck, AUT
Amica Wronki, POL
Helsingborg IF, SWE
Leixões SC, POR
Vitória Setúbal, POR
Viking Stavanger, NOR
Xanthi FC, GRE
Maccabi Tel-Aviv, ISR
Beira Mar, POR
Rapid Wien, AUT
Dinamo Moscow, RUS
Levski Sofia, BUL
CSKA Sofia, BUL
Hearts FC, SCO
Sigma Olomouc, CZE
SV Ried, AUT
Standard Liège, BEL
Livingston, SCO
Hibernian, SCO
Viktoria Zizkov, CZE
FK Príbram, CZE
FK Teplice, CZE
Inter Bratislava, SVK
Halmstads BK, SWE
Gaziantepspor, TUR
Antalyaspor AS, TUR
Ankaragücü, TUR
Litex Lovech, BUL
Aberdeen, SCO
Kilmarnock, SCO
St. Johnstone, SCO
Hapoel Haifa, ISR
FK Jablonec, CZE
Vålerengen IF, NOR
Gençlerbirligi, TUR
Steaua Bucuresti, ROU
Arsenal Kiev, UKR
Excelsior Mouscron, BEL
Lierse SK, BEL
Petra Drnovice, CZE
FC Kärnten, AUT
Karpaty Lviv, UKR
Beitar Jerusalem, ISR
Widzew Lódz, POL
Stabæk IF, NOR
Molde FK, NOR
Austria Wien, AUT
Viborg FF, DEN
Herfølge BK, DEN
Zenit St. Petersburg, RUS
MTK Budapest, HUN
Hajduk Split, CRO
Metalurg Zaporizhia, UKR
Metalurg Donetsk, UKR
Dnipro Dnipropetrovsk, UKR
Polonia Warsaw, POL
AIK Stockholm, SWE
Lillestrøm SK, NOR
SK Brann Bergen, NOR
CSKA Moscow, RUS
Ferencváros, HUN
Lech Poznan, POL
LKS Lodz, POL
Djurgårdens IF, SWE
IFK Göteborg, SWE
Odd Grenland, NOR
FC Midtjylland, DEN
Torpedo Moscow, RUS
Rapid Bucuresti, ROU
Sartid Smederevo, SRB
FK Obilic, SRB
Napredak Krusevac, SRB
Vojvodina Novi Sad, SRB
Spartak Trnava, SVK
Bodø/Glimt, NOR
OB Odense, DEN
Vejle BK, DEN
HJK Helsinki, FIN
DVSC Debrecen, HUN
Neftochimik Burgas, BUL
NK Rijeka, CRO
Slovan Bratislava, SVK
Örgryte Göteborg, SWE
IFK Norrköping, SWE
AB København, DEN
Anorthosis Famagusta, CYP
MFK Ruzomberok, SVK
NK Maribor, SVN
National Bucuresti, ROU
Dinamo Bucuresti, ROU
APOEL Nicosia, CYP
Matador Púchov, SVK
1.FC Kosice, SVK
Olimpija Ljubljana, SVN
Vasas Budapest, HUN
Újpest TE, HUN
Apollon Limassol, CYP
Skonto Riga, LVA
Olympiakos Nicosia, CYP
Haka Valkeakoski, FIN
Metalurgs Liepaja, LVA
Zimbru Chisinau, MDA
Bohemians Dublin, IRL
FK Sarajevo, BIH
Zeljeznicar Sarajevo, BIH
Birkirkara, MLT
